iter	Passed	Remaining
641	2701	1506
642	2705	1502
643	2708	1497
644	2710	1491
645	2717	1488
646	2720	1484
647	2722	1479
648	2724	1473
649	2731	1470
650	2734	1465
651	2737	1460
652	2739	1455
653	2741	1450
654	2749	1448
655	2753	1443
656	2756	1438
657	2758	1433
658	2763	1429
659	2779	1431
660	2783	1427
661	2792	1425
662	2795	1421
663	2798	1416
664	2808	1414
665	2812	1410
666	2814	1405
667	2819	1401
668	2821	1396
669	2824	1391
670	2826	1386
671	2828	1380
672	2836	1378
673	2839	1373
674	2841	1368
675	2844	1363
676	2853	1361
677	2857	1356
678	2859	1351
679	2864	1347
680	2870	1344
681	2873	1339
682	2875	1334
683	2883	1332
684	2887	1327
685	2890	1322
686	2892	1317
687	2895	1312
688	2898	1308
689	2900	1303
690	2902	1297
691	2909	1294
692	2911	1289
693	2913	1284
694	2916	1279
695	2917	1274
696	2924	1271
697	2927	1266
698	2930	1261
699	2932	1256
700	2940	1254
701	2944	1249
702	2947	1245
703	2949	1239
704	2955	1236
705	2958	1231
706	2960	1226
707	2962	1221
708	2963	1216
709	2970	1213
710	2973	1208
711	2975	1203
712	2977	1198
713	2979	1193
714	2986	1190
715	2988	1185
716	2990	1180
717	2992	1175
718	2995	1170
719	2998	1166
720	3002	1161
721	3004	1156
722	3006	1151
723	3013	1148
724	3015	1143
725	3017	1138
726	3019	1133
727	3022	1129
728	3030	1126
729	3032	1121
730	3034	1116
731	3036	1111
732	3042	1108
733	3045	1103
734	3047	1098
735	3049	1093
736	3051	1088
737	3057	1085
738	3060	1080
739	3066	1077
740	3068	1072
741	3075	1069
742	3078	1064
743	3080	1059
744	3083	1055
745	3098	1055
746	3101	1050
747	3105	1046
748	3108	1041
749	3111	1037
750	3118	1033
751	3120	1029
752	3123	1024
753	3125	1019
754	3133	1016
755	3138	1012
756	3140	1008
757	3150	1005
758	3156	1002
759	3164	999
760	3168	995
761	3170	990
762	3172	985
763	3179	982
764	3182	977
765	3184	972
766	3186	968
767	3188	963
768	3196	960
769	3198	955
770	3200	950
771	3203	946
772	3210	942
773	3213	938
774	3215	933
775	3217	928
776	3224	925
777	3227	921
778	3230	916
779	3232	911
780	3240	908
781	3243	904
782	3247	899
783	3250	895
784	3257	892
785	3260	887
786	3262	883
787	3265	878
788	3272	875
789	3274	870
790	3277	865
791	3279	861
792	3287	858
793	3289	853
794	3291	848
795	3293	844
796	3296	839
797	3299	835
798	3301	830
799	3303	825
800	3306	821
801	3314	818
802	3316	813
803	3318	809
804	3320	804
805	3330	801
806	3334	797
807	3336	792
808	3343	789
809	3346	784
810	3348	780
811	3350	775
812	3356	772
813	3359	767
814	3361	762
815	3363	758
816	3365	753
817	3371	750
818	3374	745
819	3376	741
820	3378	736
821	3381	732
822	3389	728
823	3392	724
824	3394	720
825	3396	715
826	3403	712
827	3406	707
828	3408	703
829	3410	698
830	3412	694
831	3423	691
832	3425	686
833	3428	682
834	3435	678
835	3437	674
836	3440	669
837	3442	665
838	3444	661
839	3447	656
840	3449	652
841	3452	647
842	3454	643
843	3461	639
844	3463	635
845	3465	630
846	3468	626
847	3477	623
848	3479	618
849	3481	614
850	3483	609
851	3485	605
852	3489	601
853	3491	596
854	3494	592
855	3496	588
856	3497	583
857	3505	580
858	3507	575
859	3509	571
860	3511	566
861	3513	562
862	3519	558
863	3521	554
864	3523	549
865	3531	546
866	3534	542
867	3539	538
868	3543	534
869	3546	529
870	3549	525
871	3551	521
872	3558	517
873	3560	513
874	3562	508
875	3564	504
876	3566	500
877	3573	496
878	3576	492
879	3578	487
880	3580	483
881	3582	479
882	3589	475
883	3592	471
884	3594	467
885	3596	462
886	3598	458
887	3605	454
888	3607	450
889	3615	446
890	3617	442
891	3620	438
892	3622	434
893	3624	429
894	3630	425
895	3632	421
896	3634	417
897	3636	413
898	3638	408
899	3645	405
900	3648	400
901	3650	396
902	3652	392
903	3654	388
904	3659	384
905	3663	380
906	3666	375
907	3668	371
908	3673	367
909	3676	363
910	3678	359
911	3680	355
912	3682	350
913	3683	346
914	3690	342
915	3692	338
916	3694	334
917	3696	330
918	3697	325
919	3704	322
920	3707	318
921	3710	313
922	3713	309
923	3714	305
924	3717	301
925	3719	297
926	3721	293
927	3724	288
928	3730	285
929	3732	280
930	3735	276
931	3737	272
932	3740	268
933	3749	264
934	3751	260
935	3753	256
936	3755	252
937	3756	248
938	3763	244
939	3766	240
940	3767	236
941	3769	232
942	3771	227
943	3777	224
944	3779	219
945	3781	215
946	3783	211
947	3785	207
948	3787	203
949	3794	199
950	3796	195
951	3799	191
952	3801	187
953	3807	183
954	3809	179
955	3811	175
956	3813	171
957	3815	167
958	3816	163
959	3823	159
960	3825	155
961	3827	151
962	3829	147
963	3830	143
964	3832	139
965	3839	135
966	3842	131
967	3845	127
968	3846	123
969	3848	119
970	3854	115
971	3857	111
972	3859	107
973	3861	103
974	3862	99
975	3867	95
976	3869	91
977	3871	87
978	3874	83
979	3875	79
980	3877	75
981	3883	71
982	3885	67
983	3887	63
984	3889	59
985	3891	55
986	3893	51
987	3900	47
988	3904	43
989	3907	39
990	3918	35
991	3920	31
992	3922	27
993	3924	23
994	3930	19
995	3933	15
996	3935	11
997	3936	7
998	3938	3
999	3944	0
